,Title,Genre,Rating,Season
0,The Rains Came,"Adventure, Drama, Romance",6.9,Autumn
1,Lo imposible,"Adventure, Drama, History",7.5,Autumn
2,Stoker,"Drama, Thriller",6.7,Autumn
3,The Hundred-Foot Journey,"Comedy, Drama",7.3,Autumn
4,Columbus,Drama,7.2,Autumn
5,The Man Who Knew Infinity,"Biography, Drama",7.2,Autumn
6,Victoria & Abdul,"Biography, Comedy, Drama",6.8,Spring
7,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport",8.1,Autumn
8,Monsoon Wedding,"Comedy, Drama, Romance",7.3,Autumn
9,Rang De Basanti,"Comedy, Crime, Drama",8.1,Spring
10,Goliyon Ki Rasleela Ram-Leela,"Drama, Musical, Romance",6.4,Spring
11,The Rains of Ranchipur,"Adventure, Drama, Music",5.8,Autumn
12,Kalank,"Drama, Romance",3.5,Spring
13,The Mistress of Spices,"Drama, Romance",5.5,Spring
14,Guru,Drama,7.7,Autumn
15,Stagecoach,"Action, Adventure, Drama",6.1,Spring
16,Water,Drama,7.7,Spring
17,The Other End of the Line,"Comedy, Drama, Family",6.1,Spring
18,Man in the Wilderness,"Adventure, Drama, Western",6.8,Autumn
19,Drums Along the Mohawk,"Drama, Romance, War",7.0,Spring
20,The Paleface,"Comedy, Family, Western",6.6,Autumn
21,Aa Ab Laut Chalen,"Musical, Romance, Drama",5.3,Autumn
22,The Better Angels,"Biography, Drama, History",6.0,Autumn
23,Before the Rains,"Drama, History, Romance",6.5,Spring
24,Mann,"Drama, Romance",6.1,Autumn
25,Kshatriya,"Action, Drama, War",5.9,Spring
26,Kranti,"Action, Adventure, Drama",7.3,Spring
27,Seminole,"Adventure, Drama, Music",6.1,Autumn
28,Junoon,Drama,7.6,Spring
29,Bonnie Scotland,Comedy,6.7,Spring
30,The Dream Catcher,Drama,6.8,Spring
31,Boot Polish,"Comedy, Drama, Family",7.9,Autumn
32,7 jours pas plus,Comedy,6.1,Autumn
33,Zahreelay,"Action, Drama",4.6,Spring
34,Blood Brother,Documentary,8.2,Autumn
35,Kyaa Dil Ne Kahaa,"Comedy, Drama, Romance",2.9,Spring
36,Sharabi,"Drama, Musical, Romance",7.7,Autumn
37,Rain: The Terror Within...,"Drama, Mystery, Romance",3.4,Spring
38,Meri Aan,"Drama, Family, Romance",4.4,Spring
39,Smuggler,"Action, Crime",4.3,Spring
40,I Yam What I Yam,"Family, Animation, Short",6.9,Spring
41,Monsoon,"Drama, Romance",4.4,Autumn
42,Rasika,Romance,6.6,Spring
43,California or Bust,"Short, Comedy",6.6,Autumn
44,Supernatural,"Drama, Fantasy, Horror",8.6,Autumn
45,River Monsters,"Documentary, Adventure, Mystery",8.4,Autumn
46,Karppi,"Crime, Drama, Mystery",7.5,Autumn
47,Emmanuelle 6,Drama,3.2,Summer
48,Johnny Firecloud,"Crime, Drama, Thriller",6.4,Summer
49,Chief Crazy Horse,"Biography, Drama, Western",6.1,Spring
50,Piter Pen,"Adventure, Family, Fantasy",7.5,Autumn
51,"The 3 Minnies: Sota, Tonka & Ha-Ha","Animation, Short, Comedy",6.7,Winter
52,I Am the Night,"Crime, Drama, Mystery",7.8,Spring
53,She Wore a Yellow Ribbon,"Drama, Western",7.2,Spring
54,Red Tomahawk,"Drama, Western",5.1,Summer
55,Hunterwali,"Action, Adventure",4.9,Summer
