,Title,Genre,Rating,Description,Director,Votes,Gross,Weather
0,The Shawshank Redemption,Drama,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,2739193,$28.34M,Rain
1,Evil Dead,Horror,6.5,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",Fede Alvarez,184989,$54.24M,Rain
2,Bullet Train,"Action, Comedy, Thriller",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,353752,$103.37M,Rain
3,The Suicide Squad,"Action, Adventure, Comedy",7.2,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",James Gunn,370411,$55.82M,Rain
4,65,"Action, Adventure, Drama",5.4,An astronaut crash lands on a mysterious planet only to discover he's not alone.,Scott Beck,41913,,Rain
5,The Batman,"Action, Crime, Drama",7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,697073,$369.35M,Rain
6,John Wick,"Action, Crime, Thriller",7.4,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,Chad Stahelski,689823,$43.04M,Rain
7,Peter Pan,"Adventure, Family, Fantasy",6.8,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",P.J. Hogan,76758,$48.46M,Rain
8,Blade Runner 2049,"Action, Drama, Mystery",8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,601481,$92.05M,Rain
9,Suzume no Tojimari,"Animation, Action, Adventure",7.8,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,Makoto Shinkai,16057,,Rain
10,Pearl,"Drama, Horror, Thriller",7.0,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",Ti West,56356,,Rain
11,The Glass Castle,"Biography, Drama",7.1,A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.,Destin Daniel Cretton,35839,$17.27M,Rain
12,The Hunger Games,"Action, Adventure, Sci-Fi",7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,946095,$408.01M,Rain
13,Flight,"Drama, Thriller",7.3,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",Robert Zemeckis,362946,$93.77M,Rain
14,Kindergarten Cop,"Action, Comedy, Crime",6.2,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars.",Ivan Reitman,155075,$91.46M,Rain
15,The Green Mile,"Crime, Drama, Fantasy",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,1332120,$136.80M,Rain
16,Gisaengchung,"Drama, Thriller",8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,850664,$53.37M,Rain
17,The Departed,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,1353433,$132.38M,Rain
18,Barbarian,"Horror, Mystery, Thriller",7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,146838,,Rain
19,Knock Knock,"Crime, Drama, Horror",4.9,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,98777,$0.04M,Rain
20,Hereditary,"Drama, Horror, Mystery",7.3,A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,339972,$44.07M,Rain
21,Fight Club,Drama,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,2181210,$37.03M,Rain
22,Tombstone,"Biography, Drama, History",7.8,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",George P. Cosmatos,155496,$56.51M,Rain
23,Prisoners,"Crime, Drama, Mystery",8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,743369,$61.00M,Rain
24,Se7en,"Crime, Drama, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,1693649,$100.13M,Rain
25,Tár,"Drama, Music",7.5,"Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.",Todd Field,71075,,Rain
26,Jurassic Park,"Action, Adventure, Sci-Fi",8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,1011906,$402.45M,Rain
27,Dune,"Action, Adventure, Sci-Fi",6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,David Lynch,165497,$30.93M,Rain
28,Forrest Gump,"Drama, Romance",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,2131456,$330.25M,Rain
29,Spider-Man,"Action, Adventure, Sci-Fi",7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",Sam Raimi,836571,$403.71M,Rain
30,Luther: The Fallen Sun,"Crime, Drama, Mystery",6.4,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.,Jamie Payne,50170,,Rain
31,Fatal Attraction,"Drama, Thriller",6.9,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,Adrian Lyne,91338,$156.65M,Rain
32,Taxi Driver,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Martin Scorsese,861504,$28.26M,Rain
33,Get Out,"Horror, Mystery, Thriller",7.7,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,638857,$176.04M,Rain
34,The Outsiders,"Crime, Drama",7.0,"The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.",Francis Ford Coppola,90954,$25.60M,Rain
35,Knives Out,"Comedy, Crime, Drama",7.9,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,725403,$165.36M,Rain
36,The Jungle Book,"Adventure, Drama, Family",7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Jon Favreau,283058,$364.00M,Rain
37,Oldeuboi,"Action, Drama, Mystery",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,594853,$0.71M,Rain
38,It,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,567992,$327.48M,Rain
39,Rogue One,"Action, Adventure, Sci-Fi",7.8,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Gareth Edwards,656405,$532.18M,Rain
40,Bodies Bodies Bodies,"Comedy, Horror, Thriller",6.2,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,49351,,Rain
41,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,Adam McKay,556497,,Rain
42,The Prestige,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,1361706,$53.09M,Rain
43,Shutter Island,"Mystery, Thriller",8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Martin Scorsese,1357010,$128.01M,Rain
44,The Age of Adaline,"Drama, Fantasy, Romance",7.2,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,189717,$42.48M,Rain
45,American Beauty,Drama,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,1172143,$130.10M,Rain
46,Blade Runner,"Action, Drama, Sci-Fi",8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,786477,$32.87M,Rain
47,Apocalypse Now,"Drama, Mystery, War",8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,681059,$83.47M,Rain
48,True Lies,"Action, Comedy, Thriller",7.3,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.",James Cameron,268364,$146.28M,Rain
49,En man som heter Ove,"Comedy, Drama, Romance",7.7,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,62959,$3.48M,Rain
50,Saving Private Ryan,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,1420636,$216.54M,Rain
51,Kingsman: The Golden Circle,"Action, Adventure, Comedy",6.7,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",Matthew Vaughn,342307,$100.23M,Rain
52,Ford v Ferrari,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,416288,$117.62M,Rain
53,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,1029459,$34.40M,Rain
54,The Notebook,"Drama, Romance",7.8,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way.",Nick Cassavetes,587036,$81.00M,Rain
55,Arrival,"Drama, Mystery, Sci-Fi",7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Denis Villeneuve,717109,$100.55M,Rain
56,The Young Victoria,"Biography, Drama, History",7.2,"A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",Jean-Marc Vallée,63862,$11.00M,Rain
57,Bones and All,"Drama, Horror, Romance",6.8,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.,Luca Guadagnino,40593,,Rain
58,A League of Their Own,"Comedy, Drama, Sport",7.3,Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.,Penny Marshall,114434,$107.53M,Rain
59,The Lobster,"Drama, Romance, Sci-Fi",7.1,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,268973,$8.70M,Rain
60,The Butterfly Effect,"Drama, Sci-Fi, Thriller",7.6,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,500814,$57.94M,Rain
61,A Clockwork Orange,"Crime, Sci-Fi",8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,846488,$6.21M,Rain
62,Idi i smotri,"Drama, Thriller, War",8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,85427,,Rain
63,Deadpool,"Action, Comedy",8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,1065207,$363.07M,Rain
64,Ex Machina,"Drama, Sci-Fi, Thriller",7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Alex Garland,560645,$25.44M,Rain
65,The Lion King,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,1082777,$422.78M,Rain
66,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi discovers a secret clone army crafted for the Jedi.",George Lucas,728061,$310.68M,Rain
67,Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",Hayao Miyazaki,787478,$10.06M,Rain
68,The Black Phone,"Horror, Thriller",6.9,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims.",Scott Derrickson,165657,$90.12M,Rain
69,Lolita,"Drama, Romance",6.8,"An English professor falls for a minor, and has to face the consequences of his actions.",Adrian Lyne,62397,$1.40M,Rain
70,"Girl, Interrupted","Biography, Drama",7.3,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the late 1960s.,James Mangold,196970,$28.87M,Rain
71,The Accountant,"Action, Thriller",7.3,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.",Gavin O'Connor,304306,$86.26M,Rain
72,Kimi no na wa.,"Animation, Drama, Fantasy",8.4,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Makoto Shinkai,285185,$5.02M,Rain
73,Encanto,"Animation, Comedy, Family",7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,Jared Bush,235672,$96.09M,Rain
74,Little Women,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,218313,$108.10M,Rain
75,Dracula,"Drama, Fantasy, Horror",7.4,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,Francis Ford Coppola,225133,$82.52M,Rain
76,Living,Drama,7.2,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis.",Oliver Hermanus,18348,,Rain
77,Road to Perdition,"Crime, Drama, Thriller",7.7,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,275564,$104.45M,Rain
78,Capharnaüm,Drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,94817,$1.66M,Rain
79,Catch Me If You Can,"Biography, Crime, Drama",8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,1018113,$164.62M,Rain
80,"Crazy, Stupid, Love.","Comedy, Drama, Romance",7.4,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",Glenn Ficarra,532902,$84.35M,Rain
81,Pearl Harbor,"Action, Drama, History",6.2,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Michael Bay,340414,$198.54M,Rain
82,Ratatouille,"Animation, Adventure, Comedy",8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Brad Bird,763898,$206.45M,Rain
83,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,645495,$290.01M,Rain
84,The VVitch: A New-England Folktale,"Drama, Fantasy, Horror",6.9,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Robert Eggers,275909,$25.14M,Rain
85,Psycho,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,686325,$32.00M,Rain
86,Apocalypto,"Action, Adventure, Drama",7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Mel Gibson,319662,$50.87M,Rain
87,Naruto: Shippûden,"Animation, Action, Adventure",8.7,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",Alexandre Crepet,136417,,Rain
88,Green Book,"Biography, Comedy, Drama",8.2,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,517122,$85.08M,Rain
89,Batman Begins,"Action, Crime, Drama",8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,1500330,$206.85M,Rain
90,Caddyshack,"Comedy, Sport",7.2,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,Harold Ramis,122046,$39.85M,Rain
91,The Matrix Resurrections,"Action, Sci-Fi",5.7,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",Lana Wachowski,260345,,Rain
92,Sin City,"Crime, Thriller",8.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",Frank Miller,778507,$74.10M,Rain
93,Basic Instinct,"Drama, Mystery, Thriller",7.0,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,Paul Verhoeven,207702,$117.73M,Rain
94,Martyrs,Horror,7.0,"A young woman's quest for revenge against the people who kidnapped and tormented her as a child leads her and a friend, who is also a victim of child abuse, on a terrifying journey into a living hell of depravity.",Pascal Laugier,99401,,Rain
95,The Amazing Spider-Man,"Action, Adventure, Sci-Fi",6.9,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Marc Webb,671060,$262.03M,Rain
96,Once Upon a Time in America,"Crime, Drama",8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,359591,$5.32M,Rain
97,White Noise,"Comedy, Drama, Horror",5.7,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",Noah Baumbach,38376,,Rain
98,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.7,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Tim Burton,495858,$206.46M,Rain
99,Toy Story,"Animation, Adventure, Comedy",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter,1015842,$191.80M,Rain
100,Les Misérables,"Drama, Musical, Romance",7.5,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,336102,$148.81M,Rain
101,Hauru no ugoku shiro,"Animation, Adventure, Family",8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,410497,$4.71M,Rain
102,The Human Centipede (First Sequence),Horror,4.4,"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,82411,$0.18M,Rain
103,Love Actually,"Comedy, Drama, Romance",7.6,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,502973,$59.70M,Rain
104,Watchmen,"Action, Drama, Mystery",7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,562157,$107.51M,Rain
105,Baby Driver,"Action, Crime, Drama",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,564723,$107.83M,Rain
106,Airport 1975,"Action, Drama, Thriller",5.7,"A 747 in flight collides with a small plane, and is rendered pilotless. Somehow the control tower must get a pilot aboard so the jet can land.",Jack Smight,11084,$47.29M,Rain
