,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
0,Lifeforce,"Action, Horror, Mystery",6.1,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",Tobe Hooper,27356,$11.60M,clear-sky
1,Hotel Sorrento,Drama,6.5,"Meg (Caroline Goodall), Pippa (Tara Morice), and Hilary (Caroline Gillmer) are sisters who grew up in Sorrento, Australia. Meg, who has lived in England for ten years, has just written a ...                See full summary »",Richard Franklin,333,$0.09M,clear-sky
2,Eureka Stockade,"Drama, History",6.4,"In 1854, Australian gold rush miners struggle for their rights against an oppressive government.",Harry Watt,188,N/A,clear-sky
3,Predators,Documentary,7.2,"On Canada's shores, a unique community of polar bears dominate the frozen wilderness. Every year hunger drives them to make an epic journey, following the freezing and melting of the sea ice as they hunt their prey of choice, seals.",Dan Smith,9,N/A,clear-sky
4,Avengers: Endgame,"Action, Adventure, Drama",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,1174724,$858.37M,cloudy-sky
5,Tenki no ko,"Animation, Drama, Fantasy",7.5,A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.,Makoto Shinkai,47161,$7.80M,cloudy-sky
6,Flash Gordon,"Action, Adventure, Sci-Fi",6.5,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,Mike Hodges,58859,N/A,cloudy-sky
7,Koe no katachi,"Animation, Drama",8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Naoko Yamada,88974,N/A,cloudy-sky
8,Picnic at Hanging Rock,"Drama, Mystery",7.4,"During a rural summer picnic, a few students and a teacher from an Australian girls' school vanish without a trace. Their absence frustrates and haunts the people left behind.",Peter Weir,38982,$0.23M,cloudy-sky
9,The Phantom,"Action, Adventure, Comedy",5.0,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.",Simon Wincer,34847,$17.30M,cloudy-sky
10,Journey to the West: Demon Chapter,"Adventure, Comedy, Fantasy",5.4,A monk and his three disciples continue on their journey to battle demons.,Hark Tsui,3367,$0.88M,cloudy-sky
11,Count Dracula,"Drama, Horror",7.3,The vampire count leaves his Transylvanian home to wreak havoc across the world.,Philip Saville,1662,N/A,cloudy-sky
12,Pengin haiwei,"Animation, Adventure, Family",7.1,"A fourth-grader, Aoyama-kun, investigates the mysterious reason behind the sudden appearance of penguins in his village, which is somehow related to a power from a young woman working at a dental clinic.",Hiroyasu Ishida,3417,N/A,cloudy-sky
13,Dragon Inn,"Action, Adventure",7.4,"When the children of an executed General are pursued in 1457 China, some heroic martial arts swordsmen intervene.",King Hu,3281,N/A,cloudy-sky
14,Ano hi mita hana no namae wo boku wa shiranai,"Adventure, Drama, Fantasy",7.1,"Friends grow apart after a tragic accident claims one of their number. Years later, the dead girl appears to them to ask for their help in crossing over to the afterlife.",Masaki Nishiura,372,N/A,cloudy-sky
15,Eien no 0,"Action, Drama, Mystery",7.3,"A young woman and her brother explore the history of their grandfather, who died in the WW2. They start contacting the men who flew with him, asking them about who he was.",Takashi Yamazaki,2652,N/A,cloudy-sky
16,Tornar-se um Homem na Idade Média,"Short, Drama",5.8,"Mirene and André are a straight couple struggling with infertility. Carl and Vicente are a gay couple undergoing an experimental procedure to have a child. An exploration of gender, reproduction, normativity and the notion of family.",Pedro Neves Marques,264,N/A,cloudy-sky
17,Sing-geul ra-i-deo,Drama,6.6,A man who has lost everything in his life travels to Australia in search of his family.,Zoo Young Lee,968,N/A,cloudy-sky
18,Moratoriamu Tamako,"Comedy, Drama",6.6,"Tamako graduated from a university in Tokyo, but she now lives with her father back in Kofu. Tamako doesn't help her father or tries to get a job. She spends her time just eating and sleeping throughout the four seasons of the year.",Nobuhiro Yamashita,776,N/A,cloudy-sky
19,Inakunare Gunjo,"Drama, Fantasy, Mystery",5.1,"An island in Japan is the site for the dumped and the refuse. Nanakusa and Yu who were childhood and school friends meet on this island that is called Kaiden, a scary name that only refers ...                See full summary »",Akina Yanagi,113,N/A,cloudy-sky
20,Just Grandma and Me,"Animation, Family",N/A,Little Critter and his Grandma spend a day at the beach while having misadventures on the beach and in the ocean.,Mark Schlichting,N/A,N/A,cloudy-sky
21,Zeppeki no ue no toranpetto,Drama,6.4,"Aoi studies photography at a school in Tokyo. She undergoes a heart transplant operation and goes to the island of Okinawa to recover. Her uncle lives on the island. There, she holds a ...                See full summary »",Sun-Hee Han,36,N/A,cloudy-sky
22,Tears for Fears: The Tipping Point,"Fantasy, Music",5.2,"First single of their seventh studio album ""The Tipping Point"". Orzabal and Smith sing as a ghost woman floats around a spinning room and by a dark cloudy sky.",Matt Mahurin,7,N/A,cloudy-sky
23,Chuugaku seinikki,"Drama, Romance",N/A,"The couple are torn asunder through intimidation by a parent, the cops and a lawyer. Friends come to the couple's rescue, but it may be too late. Still, there is hope if the couple stay ...                See full summary »",N/A,N/A,N/A,cloudy-sky
24,V: The Final Battle,"Action, Adventure, Sci-Fi",7.6,Donovan is reunited with his son and joins the international Resistance headed by Ham Tyler and Chris Farber.,Richard T. Heffron,262,N/A,cloudy-sky
25,Jin,"Drama, Fantasy, Romance",8.6,"The doctor receives an invitation to the brothel where a surprise awaits him. yet despite being asked to arrive alone he has another man in tow. At the same time a fire breaks out, and ...                See full summary »",Daisuke Yamamuro,8,N/A,cloudy-sky
26,"Honjitsumo hare, ijou nashi",Drama,N/A,The housewives are unhappy with Naomi and the service her bar provides their husbands. An old newspaper article also offers the residents more information on the bar owner's background. ...                See full summary »,Kenji Sakaguchi,N/A,N/A,cloudy-sky
27,Death Parade,"Animation, Drama, Mystery",7.9,"When she has to play the game, a female TV celebrity expects that a reality-show is taken. She wants an opposite guy to cooperate for more interesting.",Yuzuru Tachikawa,469,N/A,cloudy-sky
28,La ragazza nella nebbia,"Crime, Drama, Mystery",6.8,Special agent Vogel is sent to an isolated town in a remote mountain valley to investigate the case of a sixteen years old's disappearance.,Donato Carrisi,11988,N/A,overcast
29,The Zodiac Killer,"Horror, Mystery, Thriller",4.4,A serial killer in San Francisco murders without motive or apparent pattern and taunts the police with phone calls and letters.,Tom Hanson,859,N/A,overcast
30,SuperVan,"Action, Comedy",3.9,A man named Clint enters a solar-powered van called Vandora into a competition called Freakout.,Lamar Card,335,N/A,overcast
31,Fragma,"Short, Drama",5.4,"A violent change in the environment, is reflected on a family's collision. A young girl is obligated to leave her dog behind, before her family abandons their home in the village, because of the construction of a dam.",Yorgos Teltzidis,41,N/A,overcast
32,Koinonia,"Adventure, Drama, Mystery",7.3,"Billions of people have vanished and economies have collapsed. John, once a family man, now alone, survives in the woods while heading north to reach a post-human place called Faraday.",Andrew Finnigan,25,N/A,overcast
33,"Faithless: Miss U Less, See U More","Action, Drama, Fantasy",N/A,"A trio of Buddhist monks enter a temple to pray. Religious experience happens to the sounds of Faithless hit, which appears as a mantra in the video.",Maxi Jazz,N/A,N/A,overcast
34,Yakari,"Animation, Adventure, Family",N/A,"An unbelievable thing has happened, as a massive swarm of countless migrating birds hid away the precious sun. Yakari must find a solution to this unforeseen problem before things get out of hand; however, what will be his approach?",Xavier Giacometti,N/A,N/A,overcast
35,Fifty Shades of Grey,"Drama, Romance, Thriller",4.2,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,325709,$166.17M,rainy-day
36,It,Horror,7.3,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",Andy Muschietti,567773,$327.48M,rainy-day
37,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Alfonso Cuarón,653888,$249.36M,rainy-day
38,Man on Fire,"Action, Crime, Drama",7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,371338,$77.91M,rainy-day
39,Secretary,"Comedy, Drama, Romance",6.9,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",Steven Shainberg,94412,$4.06M,rainy-day
40,Flight,"Drama, Thriller",7.3,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",Robert Zemeckis,362786,$93.77M,rainy-day
41,A Simple Favor,"Comedy, Crime, Mystery",6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig,154427,$53.55M,rainy-day
42,The Shape of Water,"Drama, Fantasy, Romance",7.3,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",Guillermo del Toro,431436,$63.86M,rainy-day
43,Burlesque,"Drama, Music, Musical",6.4,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,Steve Antin,89286,$39.44M,rainy-day
44,Allied,"Action, Drama, Romance",7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,162261,$40.10M,rainy-day
45,Garden State,"Comedy, Drama, Romance",7.4,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,Zach Braff,219661,$26.78M,rainy-day
46,Phenomenon,"Drama, Fantasy, Romance",6.4,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",Jon Turteltaub,81446,$104.64M,rainy-day
47,The Horse Whisperer,"Drama, Romance, Western",6.7,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,Robert Redford,42330,$75.38M,rainy-day
48,De rouille et d'os,"Drama, Romance",7.4,"Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.",Jacques Audiard,68791,$2.06M,rainy-day
49,Hodejegerne,"Action, Crime, Thriller",7.5,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary.,Morten Tyldum,104232,$1.20M,rainy-day
50,National Lampoon's European Vacation,"Adventure, Comedy",6.2,The Griswolds win a vacation tour across Europe where the usual havoc ensues.,Amy Heckerling,68788,$49.40M,rainy-day
51,What's Your Number?,"Comedy, Romance",6.0,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,Mark Mylod,83015,$14.01M,rainy-day
52,Alfie,"Comedy, Drama, Romance",6.2,A cockney womanizer learns the hard way about the dangers of his actions.,Charles Shyer,53896,$13.40M,rainy-day
53,Elizabethtown,"Comedy, Drama, Romance",6.3,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Cameron Crowe,71383,$26.84M,rainy-day
54,Larry Crowne,"Comedy, Drama, Romance",6.1,"After losing his job, a middle-aged man reinvents himself by going back to college.",Tom Hanks,69036,$35.61M,rainy-day
55,You Will Meet a Tall Dark Stranger,"Comedy, Drama, Romance",6.3,"Sally's parents' marriage breaks up when her father undergoes a mid-life crisis and impulsively weds a prostitute. Meanwhile, Sally's own marriage also begins to disintegrate.",Woody Allen,46769,$3.25M,rainy-day
56,Calendar Girls,"Comedy, Drama",6.9,A Women's Institute chapter's fundraising effort for a local hospital by posing nude for a calendar becomes a media sensation.,Nigel Cole,27225,$31.04M,rainy-day
57,Solomon Kane,"Action, Adventure, Fantasy",6.1,"A ruthless mercenary renounces violence after learning his soul is bound for hell. When a young girl is kidnapped and her family slain by a sorcerer's murderous cult, he is forced to fight and seek his redemption slaying evil.",M.J. Bassett,74807,N/A,rainy-day
58,Wimbledon,"Comedy, Romance, Sport",6.3,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",Richard Loncraine,65229,$17.00M,rainy-day
59,American Taboo,"Drama, Romance",4.5,"Unstable thirty-something introvert, who works as a photographer's assistant, becomes obsessed with his underage female neighbor, who, to his horror, reciprocates his feelings due to possible Electra complex.",Steve Lustgarten,201,N/A,rainy-day
60,Not Without My Daughter,"Drama, Thriller",6.4,An American woman trapped in Islamic Iran by her brutal husband must find a way to escape with her daughter as well.,Brian Gilbert,13922,$14.79M,rainy-day
61,Feuchtgebiete,"Comedy, Drama",5.8,The adventures of an eccentric girl who has strange attitudes towards hygiene and sexuality longs for the reunion of her divorced parents.,David Wnendt,12027,$0.06M,rainy-day
