,Weather,Track Name,Artist,Album,Image,Popularity,Season
0,Fog,Cold,Novo Amor,"Woodgate, NY",https://i.scdn.co/image/ab67616d0000b273ebce8008ec6fe38098486338,0,Autumn
1,Fog,Ylang Ylang,FKJ,Ylang Ylang EP,https://i.scdn.co/image/ab67616d0000b273e29bdeb64db0bc70e9dddfd5,3,Autumn
2,Fog,I Wanted to Leave,SYML,I Wanted to Leave (Sitar Version),https://i.scdn.co/image/ab67616d0000b27359b4f520cf4903dbb2f52c1d,67,Autumn
3,Fog,Repeat Until Death,Novo Amor,Birthplace,https://i.scdn.co/image/ab67616d0000b273bb7f4860ea8f7f6515756252,70,Spring
4,Fog,Euphor,Novo Amor,Heiress,https://i.scdn.co/image/ab67616d0000b273d309a3c5dd94287bbcfed486,68,Autumn
5,Fog,EVERYTHING,The Black Skirts,TEAM BABY,https://i.scdn.co/image/ab67616d0000b27310b3ebc65d2f65964cf461d8,71,Autumn
6,Fog,Where's My Love - Alternate Version,SYML,Hurt for Me,https://i.scdn.co/image/ab67616d0000b273a2d4fe5160738f4e40ab611d,0,Spring
7,Fog,Here with Me,Susie Suh,Here with Me,https://i.scdn.co/image/ab67616d0000b273d917c30dec6e64fbcd85a90b,54,Spring
8,Fog,Falling In Love,Cigarettes After Sex,Cry,https://i.scdn.co/image/ab67616d0000b273b0d93d82c831a2655e32762e,69,Autumn
9,Fog,To Each His Own,Talos,Far Out Dust,https://i.scdn.co/image/ab67616d0000b273bd221f3590160cb738f9e259,47,Autumn
10,Fog,carry me home,sød ven,carry me home,https://i.scdn.co/image/ab67616d0000b273f385299ba22955caf3b16d4b,37,Autumn
11,Fog,YKWIM?,Yot Club,Bipolar,https://i.scdn.co/image/ab67616d0000b2731a72818330a056c9d3556a68,84,Spring
12,Fog,exile (feat. Bon Iver),Taylor Swift,folklore,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,80,Spring
13,Fog,Atlas Hands,Benjamin Francis Leftwich,Last Smoke Before The Snowstorm (10th Anniversary Edition),https://i.scdn.co/image/ab67616d0000b273da4f935fe46f4ac3084b1e3a,57,Spring
14,Fog,Bored,Billie Eilish,Bored,https://i.scdn.co/image/ab67616d0000b273e0f2af91be409aad81bba98c,84,Autumn
15,Fog,mr loverman but its even sadder,MymsoCore,mr loverman but its even sadder,https://i.scdn.co/image/ab67616d0000b27326c64fdc5bb3089c62889ae6,0,Spring
16,Fog,1000x,Jarryd James,High,https://i.scdn.co/image/ab67616d0000b27372ed30080466f2ce88ba2602,52,Spring
17,Fog,Weather,Novo Amor,"Woodgate, NY",https://i.scdn.co/image/ab67616d0000b273ebce8008ec6fe38098486338,0,Spring
18,Fog,The Night We Met,Sarah Cothran,The Night We Met,https://i.scdn.co/image/ab67616d0000b273239aed502e8374c7ea933fff,0,Spring
19,Fog,Berlin,RY X,Dawn,https://i.scdn.co/image/ab67616d0000b273451ca5fbf400e7e1ffc4c1d9,66,Autumn
